Date,ADS,ALV,BAS,BAYN,BEI,BMW,CON,DAI,DBK,LHA,DTE,FRE,FME,HEI,HEN3,LIN,MRK,MUV2,RWE,SAP,SIE,TKA,VOW3
,Consumer Discretionary,Financials,Materials,Healthcare,Consumer Staples,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Financials,Consumer Discretionary,Communications,Healthcare,Healthcare,Materials,Consumer Staples,Materials,Healthcare,Financials,Utilities,Technology,"Industrial, electronics",Industrials,VOW3
2000-01-03,9.93368148803711,154.865768432617,9.24849891662598,26.2589931488037,11.4797048568726,13.4822521209717,13.1840114593506,35.4237060546875,34.1733894348145,13.5994119644165,25.9480457305908,16.1667003631592,16.1007881164551,50.3983192443848,12.7115383148193,25.8078689575195,7.35457944869995,126.459403991699,17.8042793273926,28.1090335845947,68.3206176757813,16.8946113586426,16.8935813903809
2000-01-04,9.5834903717041,154.865768432617,8.98657894134522,25.19970703125,12.2271299362183,12.9382095336914,12.6782760620117,34.0665702819824,32.4553413391113,13.2551221847534,25.3998508453369,15.6888999938965,15.5889844894409,48.8376235961914,12.3083028793335,24.9147357940674,7.27155065536499,118.260635375977,17.8088817596436,26.7745838165283,65.5604019165039,17.5670337677002,16.1403312683105
2000-01-05,9.35626602172852,154.134140014648,8.64337158203125,24.530689239502,11.0216016769409,12.6821870803833,12.6782760620117,33.6295280456543,32.0349960327148,13.088716506958,24.4861850738525,15.4443998336792,14.981424331665,48.9026832580566,12.3543920516968,24.4446601867676,7.18851947784424,127.204742431641,17.226110458374,23.5434379577637,63.3419227600098,17.8752326965332,16.2479305267334
2000-01-06,9.757248878479,160.47509765625,8.67588615417481,24.6143093109131,11.2971754074097,12.6410417556763,13.1840114593506,32.801441192627,33.6673431396484,13.6740074157715,22.2933921813965,15.7777996063232,14.8466348648071,46.8216857910156,11.8378419876099,25.6198463439941,6.99870204925537,132.173645019531,17.5702590942383,24.3071918487549,62.5672378540039,18.7717914581299,16.5976848602295
2000-01-07,9.62359046936035,164.93815612793,9.03173732757568,25.6401176452637,11.5365381240845,12.6181840896606,12.8468332290649,33.5835189819336,34.6875762939453,13.8002471923828,23.6602306365967,15.7222003936768,15.0283098220825,46.6916542053223,12.0970659255981,27.0630073547363,7.05802297592163,138.136383056641,17.2031803131104,29.4718914031982,65.0842666625977,18.7998065948486,17.01731300354
2000-01-10,9.76927947998047,165.88932800293,9.07147789001465,26.5712070465088,11.7104892730713,13.1210784912109,12.8468332290649,34.5634231567383,33.7938575744629,13.4330053329468,24.2157421112061,15.8999996185303,15.4326820373535,47.146842956543,12.2813987731934,26.5365257263184,7.18851947784424,139.130187988281,17.1159820556641,30.6757793426514,68.9571533203125,17.931266784668,17.135684967041
2000-01-11,9.67838954925537,164.377227783203,8.66866016387939,25.7850875854492,11.305757522583,13.0753612518311,12.4826641082764,34.0849761962891,33.912223815918,13.4616947174072,24.1207218170166,16,15.2373561859131,48.2523536682129,12.1738538742065,26.3249492645264,7.22885322570801,139.627075195313,17.0471496582031,31.6581325531006,69.4327087402344,17.3709144592285,17.3024425506592
2000-01-12,9.62359046936035,165.108901977539,8.67046642303467,24.6700534820557,11.2196836471558,12.8879165649414,12.3410949707031,34.0895767211914,32.8919906616211,13.4731731414795,24.8516502380371,15.834400177002,15.374080657959,48.7400894165039,12.2314558029175,25.8548831939697,7.2834038734436,140.123992919922,17.0242214202881,32.3112106323242,68.6968383789062,17.0347023010254,17.1733531951904
2000-01-13,9.33621788024902,167.791564941406,8.5801477432251,24.502815246582,11.4504146575928,12.5267486572266,12.4084644317627,34.7336387634277,34.0958404541016,13.4272651672363,24.8516502380371,15.8888998031616,15.2373561859131,48.4474258422852,11.7898569107056,26.4190158843994,7.21222972869873,141.117752075195,16.7029991149902,32.6519241333008,71.3634185791016,17.0347023010254,16.6783294677734
2000-01-14,9.00206470489502,181.131988525391,8.5801477432251,25.088207244873,11.6674003601074,12.4353160858154,12.6782760620117,34.6416320800781,34.3202819824219,13.1231451034546,26.0576915740967,15.8888998031616,15.2002601623535,48.47998046875,12.0778846740723,25.9959106445312,7.14105224609375,153.29167175293,16.5424098968506,33.3901252746582,75.0696105957031,17.2588405609131,16.683744430542
2000-01-17,9.08894729614258,180.180847167969,8.64698600769043,25.7850875854492,12.0531768798828,12.4718866348267,12.5905475616455,33.5099105834961,35.2303466796875,12.7960691452026,26.7740020751953,15.8888998031616,15.002932548523,49.3578605651855,12.0970659255981,25.3613128662109,7.3071141242981,155.52766418457,16.3358726501465,32.8790512084961,76.7348861694336,17.0851306915283,17.2432880401611
2000-01-18,9.08894729614258,175.220275878906,8.66143608093262,25.1439552307129,11.7104892730713,12.3438749313355,12.2735900878906,33.5145149230957,34.7080154418945,12.9395236968994,25.5460338592529,15.8888998031616,15.1396608352661,47.465518951416,11.8090410232544,24.4446601867676,7.22408390045166,148.521484375,16.6571025848389,31.4594287872314,73.5761871337891,17.1299591064453,16.9688720703125
2000-01-19,8.90181732177734,175.595840454102,9.00283527374268,25.1439552307129,12.0376806259155,12.6136131286621,11.5655508041382,33.4685096740723,34.6059799194336,12.5378551483154,25.3084888458252,15.9989004135132,15.2354202270508,47.9922370910645,11.8359413146973,23.9745197296143,7.23593854904175,149.068054199219,16.5148372650146,31.1754722595215,72.6079559326172,16.8105640411377,16.4900283813477
